terrace,bedrooms,construction_year,date_month,date_year,date_year_month,floor,rooms,price_room,price_surface,price,surface,zip
yes,2.0,1966.0,7,2016,201607.0,up floor,2.0,175000.0,3888.8888888888887,350000.0,90.0,81249
yes,2.0,1965.0,7,2016,201607.0,up floor,2.0,172500.0,3812.1546961325967,345000.0,90.5,80935
yes,1.0,1965.0,7,2016,201607.0,up floor,2.0,167500.0,3722.222222222222,335000.0,90.0,80997
yes,1.0,1958.0,7,2016,201607.0,up floor,2.0,204000.0,4508.287292817679,408000.0,90.5,80686
yes,1.0,1966.0,7,2016,201607.0,up floor,2.0,179500.0,3988.8888888888887,359000.0,90.0,81475
yes,2.0,1968.0,7,2016,201607.0,up floor,2.0,140000.0,3093.9226519337017,280000.0,90.5,80933
yes,2.0,1975.0,7,2016,201607.0,up floor,2.0,177500.0,3922.6519337016575,355000.0,90.5,80686
yes,1.0,2017.0,7,2016,201607.0,ground floor,2.0,209750.0,4661.111111111111,419500.0,90.0,81825
yes,2.0,1964.0,7,2016,201607.0,up floor,2.0,182500.0,4033.1491712707184,365000.0,90.5,80995
yes,3.0,1972.0,7,2016,201607.0,up floor,2.0,209250.0,4650.0,418500.0,90.0,81737
yes,3.0,1966.0,7,2016,201607.0,up floor,2.0,197500.0,4388.888888888889,395000.0,90.0,80639
yes,2.0,1977.0,7,2016,201607.0,ground floor,2.0,184500.0,4077.3480662983425,369000.0,90.5,81475
yes,2.0,1973.0,7,2016,201607.0,up floor,2.0,124500.0,2751.3812154696134,249000.0,90.5,81373
yes,2.0,1967.0,7,2016,201607.0,up floor,2.0,174500.0,3856.353591160221,349000.0,90.5,81379
yes,1.0,1970.0,7,2016,201607.0,up floor,2.0,73000.0,1613.2596685082874,146000.0,90.5,81245
yes,2.0,2000.0,7,2016,201607.0,up floor,2.0,182500.0,4033.1491712707184,365000.0,90.5,81927
yes,1.0,1971.0,7,2016,201607.0,up floor,2.0,209500.0,4629.834254143647,419000.0,90.5,81479
yes,2.0,1975.0,7,2016,201607.0,up floor,2.0,159975.0,3535.3591160220994,319950.0,90.5,81737
yes,1.0,1973.0,7,2016,201607.0,up floor,2.0,200650.0,4434.254143646409,401300.0,90.5,81737
yes,1.0,1973.0,7,2016,201607.0,up floor,2.0,188550.0,4166.850828729282,377100.0,90.5,81737
yes,2.0,1973.0,7,2016,201607.0,up floor,3.0,120466.66666666667,3993.3701657458564,361400.0,90.5,81737
yes,2.0,1976.0,7,2016,201607.0,up floor,2.0,179500.0,3966.8508287292816,359000.0,90.5,81827
yes,2.0,1967.0,7,2016,201607.0,up floor,3.0,129666.66666666667,4270.032930845226,389000.0,91.1,81927
